StaffId,Name,JobTitle,GradeLevel,EmployeeType,FunctionalManager,Mobile,Country,Department,CostCenter,Email
614302181,Kunal Gupta,Managing Director,2,Employee,Jatin Aggarwal,,USA,Dept_0215,27477597,kunal.gupta@tech.com
885593029,Rahul Iyer,Managing Director,2,Employee,Jatin Singh,,India,Dept_0020,74995591,rahul.iyer@tech.com
220597977,Simran Iyer,Managing Director,2,Employee,Ankit Bansal,,USA,Dept_0111,14401363,simran3.iyer@tech.com
839965938,Simran Malhotra,Managing Director,2,Employee,Simran Iyer,,Singapore,Dept_0122,43958759,simran2.malhotra@tech.com
463659637,Jatin Sharma,Managing Director,2,Employee,Priya Bansal,,Canada,Dept_0011,22952493,jatin2.sharma@tech.com
574707201,Simran Sharma,Managing Director,2,Employee,Sneha Gupta,,Germany,Dept_0923,36846824,simran.sharma@tech.com
882267928,Amit Verma,CEO,3,Employee,Ankit Iyer,,India,Dept_0150,47228730,amit.verma@tech.com
706912715,Pooja Verma,COO,3,Employee,Ayesha Malhotra,,USA,Dept_0876,77194013,pooja2.verma@tech.com
958538383,Simran Bansal,CEO,3,Employee,Simran Mehta,,Germany,Dept_0584,19172042,simran.bansal@tech.com
257929678,Rahul Bansal,CEO,3,Employee,Amit Verma,,Germany,Dept_0223,35709072,rahul.bansal@tech.com
816065251,Priya Mehta,CEO,3,Employee,Ankit Bansal,,Canada,Dept_0102,38724658,priya.mehta@tech.com
716035302,Vikram Kapoor,COO,3,Employee,Jatin Sharma,,Canada,Dept_0604,34847161,vikram.kapoor@tech.com
909774911,Sneha Sharma,CEO,3,Employee,Simran Iyer,,UK,Dept_0389,66920644,sneha.sharma@tech.com
411199562,Neha Malhotra,CEO,3,Employee,Jatin Kapoor,,Singapore,Dept_0116,52181984,neha.malhotra@tech.com
608857707,Rahul Kapoor,CEO,3,Employee,Sneha Sharma,,Germany,Dept_0140,76547299,rahul.kapoor@tech.com
417351774,Simran Verma,COO,3,Employee,Ankit Kapoor,,Germany,Dept_0740,15450389,simran.verma@tech.com
857472628,Rahul Verma,COO,3,Employee,Ankit Kapoor,,India,Dept_0395,48065683,rahul.verma@tech.com
794972902,Sneha Bansal,COO,3,Employee,Priya Malhotra,,Canada,Dept_1000,69586748,sneha.bansal@tech.com
455709881,Neha Malhotra,COO,3,Employee,Sneha Bansal,,UK,Dept_0876,67440042,neha2.malhotra@tech.com
644826299,Neha Sharma,COO,3,Employee,Rohit Malhotra,,Canada,Dept_0377,34064874,neha.sharma@tech.com
686419353,Jatin Kapoor,CEO,3,Employee,Pooja Verma,,Singapore,Dept_0449,80150556,jatin.kapoor@tech.com
892952947,Arjun Sharma,CEO,3,Employee,Rahul Mehta,,USA,Dept_0405,63770881,arjun.sharma@tech.com
104610971,Kunal Bansal,CEO,3,Employee,Arjun Kapoor,,Canada,Dept_0948,32645646,kunal.bansal@tech.com
267560926,Rahul Verma,CEO,3,Employee,Vikram Aggarwal,,UK,Dept_0206,89854290,rahul2.verma@tech.com
443831389,Ayesha Iyer,CEO,3,Employee,Arjun Kapoor,,USA,Dept_0859,67002833,ayesha.iyer@tech.com
591817492,Kunal Kapoor,COO,3,Employee,Pooja Sharma,,Canada,Dept_0785,88103795,kunal2.kapoor@tech.com
256104757,Pooja Singh,COO,3,Employee,Rohit Mehta,,UK,Dept_0488,99479873,pooja.singh@tech.com
925190102,Pooja Iyer,COO,3,Employee,Simran Kapoor,,Germany,Dept_0286,29780216,pooja.iyer@tech.com
636244827,Simran Kapoor,CEO,3,Employee,Ankit Iyer,,India,Dept_0257,75678288,simran.kapoor@tech.com
534395495,Sneha Gupta,CEO,3,Employee,Vikram Aggarwal,,India,Dept_0102,17093731,sneha.gupta@tech.com
126763237,Ayesha Sharma,COO,3,Employee,Sneha Kapoor,,Canada,Dept_0028,34037816,ayesha.sharma@tech.com
230448918,Rohit Bansal,COO,3,Employee,Vikram Verma,,USA,Dept_0311,93478965,rohit.bansal@tech.com
423797338,Pooja Sharma,CEO,3,Employee,Ayesha Sharma,,Canada,Dept_0770,79786361,pooja2.sharma@tech.com
672994767,Simran Kapoor,COO,3,Employee,Priya Malhotra,,USA,Dept_0301,98864649,simran2.kapoor@tech.com
274587852,Sneha Kapoor,COO,3,Employee,Rahul Mehta,,Germany,Dept_0352,82548572,sneha.kapoor@tech.com
679677338,Vikram Aggarwal,CEO,3,Employee,Ankit Bansal,,Singapore,Dept_0902,25989909,vikram.aggarwal@tech.com
581497073,Rohit Kapoor,COO,3,Employee,Rohit Mehta,,Singapore,Dept_0454,71694016,rohit.kapoor@tech.com
500414366,Jatin Aggarwal,CEO,3,Employee,Ayesha Iyer,,Germany,Dept_0676,50673953,jatin.aggarwal@tech.com
258853889,Kunal Mehta,COO,3,Employee,Amit Verma,,Singapore,Dept_0138,51937627,kunal.mehta@tech.com
469202923,Kunal Iyer,COO,3,Employee,Simran Bansal,,India,Dept_0583,75841004,kunal.iyer@tech.com
440315774,Arjun Malhotra,COO,3,Employee,Vikram Aggarwal,,Singapore,Dept_0576,30979701,arjun.malhotra@tech.com
814632395,Vikram Aggarwal,COO,3,Employee,Arjun Kapoor,,UK,Dept_0507,89328732,vikram2.aggarwal@tech.com
137247123,Rohit Bansal,COO,3,Employee,Simran Verma,,UK,Dept_0329,18244186,rohit2.bansal@tech.com
859279763,Jatin Bansal,CEO,3,Employee,Arjun Kapoor,,USA,Dept_0858,59178730,jatin.bansal@tech.com
703966077,Ankit Bansal,CEO,3,Employee,Ayesha Iyer,,Canada,Dept_0350,61079694,ankit.bansal@tech.com
320283891,Rahul Iyer,COO,3,Employee,Rahul Mehta,,UK,Dept_0422,57146562,rahul2.iyer@tech.com
298101702,Jatin Gupta,CEO,3,Employee,Jatin Kapoor,,USA,Dept_0664,51889289,jatin.gupta@tech.com
496932442,Pooja Sharma,CEO,3,Employee,Rahul Gupta,,UK,Dept_0118,55311134,pooja3.sharma@tech.com
379610097,Amit Aggarwal,COO,3,Employee,Arjun Kapoor,,India,Dept_0472,98284097,amit.aggarwal@tech.com
573400575,Ayesha Iyer,COO,3,Employee,Neha Aggarwal,,UK,Dept_0021,73042053,ayesha2.iyer@tech.com
235799902,Pooja Aggarwal,COO,3,Employee,Jatin Singh,,Singapore,Dept_0585,62385285,pooja.aggarwal@tech.com
716891706,Ankit Bansal,CEO,3,Employee,Ankit Kapoor,,Singapore,Dept_0103,37636546,ankit2.bansal@tech.com
439974407,Ankit Kapoor,COO,3,Employee,Simran Malhotra,,USA,Dept_0630,50201014,ankit3.kapoor@tech.com
144186034,Ankit Iyer,CEO,3,Employee,Rahul Verma,,Singapore,Dept_0651,20109437,ankit2.iyer@tech.com
225539035,Ayesha Malhotra,CEO,3,Employee,Neha Sharma,,UK,Dept_0272,16379551,ayesha2.malhotra@tech.com
355448903,Priya Bansal,COO,3,Employee,Vikram Verma,,USA,Dept_0640,22342371,priya.bansal@tech.com
273145929,Kunal Bansal,CEO,3,Employee,Rohit Bansal,,Germany,Dept_0345,46690420,kunal2.bansal@tech.com
264803049,Rahul Bansal,COO,3,Employee,Ayesha Malhotra,,Singapore,Dept_0215,56616029,rahul2.bansal@tech.com
953042013,Simran Sharma,COO,3,Employee,Sneha Gupta,,Germany,Dept_0824,50253107,simran2.sharma@tech.com
815494270,Rohit Malhotra,COO,3,Employee,Sneha Kapoor,,USA,Dept_0425,63995920,rohit.malhotra@tech.com
843951973,Priya Bansal,COO,3,Employee,Neha Malhotra,,Canada,Dept_0782,83492593,priya2.bansal@tech.com
860328560,Amit Aggarwal,CEO,3,Employee,Kunal Bansal,,Germany,Dept_0512,38582041,amit2.aggarwal@tech.com
288290663,Arjun Kapoor,COO,3,Employee,Rohit Mehta,,Canada,Dept_0546,92466364,arjun3.kapoor@tech.com
295722203,Ayesha Iyer,CEO,3,Employee,Amit Verma,,Germany,Dept_0206,58892118,ayesha3.iyer@tech.com
406281188,Sneha Mehta,CEO,3,Employee,Vikram Aggarwal,,USA,Dept_0765,50302318,sneha.mehta@tech.com
674791917,Ayesha Iyer,COO,3,Employee,Jatin Kapoor,,UK,Dept_0881,18647316,ayesha4.iyer@tech.com
864302503,Neha Singh,Senior Analyst,7,Contractor,Ankit Iyer,8041061995.0,UK,Dept_0022,96623797,neha.singh@tech.com
272646820,Ayesha Aggarwal,Analyst,8,Contractor,Kunal Kapoor,8373948273.0,UK,Dept_0655,58701586,ayesha.aggarwal@tech.com
764249151,Rahul Malhotra,Junior Associate,10,Contractor,Ankit Iyer,,Singapore,Dept_0950,44297151,rahul.malhotra@tech.com
278630985,Ayesha Gupta,Manager,6,Employee,Priya Malhotra,,Singapore,Dept_0647,52571763,ayesha.gupta@tech.com
589547387,Arjun Iyer,Junior Associate,10,Contractor,Sneha Mehta,,Singapore,Dept_0483,65426729,arjun.iyer@tech.com
405352880,Kunal Iyer,Junior Associate,10,Employee,Simran Bansal,8999958155.0,Germany,Dept_0068,57225359,kunal2.iyer@tech.com
479160679,Kunal Malhotra,Senior Analyst,7,Contractor,Jatin Bansal,,India,Dept_0657,96113089,kunal.malhotra@tech.com
259277073,Sneha Mehta,Assistant Vice President,5,Contractor,Jatin Gupta,6859316945.0,UK,Dept_0590,21036999,sneha2.mehta@tech.com
150808323,Neha Malhotra,Vice President,4,Contractor,Ankit Kapoor,9404372709.0,Singapore,Dept_0490,27919382,neha3.malhotra@tech.com
926512485,Arjun Bansal,Manager,6,Contractor,Jatin Singh,,Singapore,Dept_0377,34412762,arjun.bansal@tech.com
409394722,Ayesha Bansal,Senior Analyst,7,Employee,Rahul Kapoor,,India,Dept_0998,72065617,ayesha2.bansal@tech.com
499327067,Kunal Mehta,Assistant Vice President,5,Contractor,Kunal Sharma,8654307183.0,Germany,Dept_0267,30032157,kunal2.mehta@tech.com
619952085,Amit Bansal,Vice President,4,Employee,Neha Malhotra,9086292314.0,Singapore,Dept_0848,76323560,amit.bansal@tech.com
343505251,Kunal Gupta,Vice President,4,Contractor,Rahul Gupta,7236787255.0,Singapore,Dept_0134,67889258,kunal2.gupta@tech.com
379180880,Pooja Gupta,Junior Associate,10,Employee,Ayesha Mehta,,Singapore,Dept_0812,29588118,pooja.gupta@tech.com
947469747,Priya Gupta,Vice President,4,Employee,Simran Malhotra,7587581996.0,India,Dept_0011,72932224,priya.gupta@tech.com
284401329,Kunal Iyer,Assistant Vice President,5,Contractor,Pooja Verma,9042783169.0,Canada,Dept_0612,44390017,kunal3.iyer@tech.com
429096506,Vikram Aggarwal,Vice President,4,Contractor,Ayesha Bansal,,Singapore,Dept_0931,57553566,vikram3.aggarwal@tech.com
947556242,Simran Bansal,Analyst,8,Employee,Ankit Bansal,7089448023.0,UK,Dept_0405,59781518,simran2.bansal@tech.com
241684797,Jatin Bansal,Assistant Vice President,5,Contractor,Jatin Aggarwal,6729571043.0,UK,Dept_0899,72825287,jatin2.bansal@tech.com
709081834,Ankit Malhotra,Assistant Vice President,5,Employee,Priya Malhotra,,UK,Dept_0046,27162621,ankit.malhotra@tech.com
426505925,Ayesha Singh,Senior Analyst,7,Contractor,Ankit Malhotra,7215155799.0,Germany,Dept_0850,45400991,ayesha.singh@tech.com
591781368,Rohit Mehta,Analyst,8,Contractor,Amit Verma,,Germany,Dept_0874,98237348,rohit2.mehta@tech.com
578090317,Sneha Aggarwal,Associate,9,Employee,Ayesha Gupta,,USA,Dept_0037,73115555,sneha.aggarwal@tech.com
688913795,Kunal Kapoor,Manager,6,Employee,Ankit Kapoor,9844748262.0,India,Dept_0453,57851319,kunal3.kapoor@tech.com
669261655,Sneha Kapoor,Associate,9,Employee,Jatin Aggarwal,,India,Dept_0358,22559810,sneha2.kapoor@tech.com
848251568,Amit Mehta,Assistant Vice President,5,Employee,Simran Iyer,,Germany,Dept_0786,86609843,amit.mehta@tech.com
814956730,Rahul Gupta,Assistant Vice President,5,Employee,Neha Sharma,9811215239.0,India,Dept_0292,26373347,rahul2.gupta@tech.com
737112501,Pooja Sharma,Senior Analyst,7,Employee,Neha Malhotra,,Singapore,Dept_0851,98521869,pooja4.sharma@tech.com
621997861,Arjun Singh,Senior Analyst,7,Contractor,Ayesha Iyer,6188321417.0,UK,Dept_0971,86391152,arjun.singh@tech.com
450368842,Ayesha Aggarwal,Assistant Vice President,5,Contractor,Ankit Kapoor,,Canada,Dept_0073,83438064,ayesha2.aggarwal@tech.com
944846231,Rahul Iyer,Analyst,8,Employee,Rahul Kapoor,7031136291.0,India,Dept_0022,37947183,rahul3.iyer@tech.com
793692221,Simran Iyer,Assistant Vice President,5,Employee,Simran Verma,6517981598.0,Singapore,Dept_0821,68030164,simran4.iyer@tech.com
804117476,Priya Bansal,Associate,9,Contractor,Kunal Malhotra,,UK,Dept_0525,36826266,priya3.bansal@tech.com
468070623,Rohit Kapoor,Senior Analyst,7,Contractor,Rahul Verma,6387502046.0,UK,Dept_0629,35012256,rohit2.kapoor@tech.com
721379342,Rohit Sharma,Senior Analyst,7,Contractor,Jatin Gupta,,Canada,Dept_0703,30813102,rohit.sharma@tech.com
542050628,Arjun Malhotra,Senior Analyst,7,Contractor,Simran Kapoor,8010986027.0,India,Dept_0929,74103912,arjun2.malhotra@tech.com
460645578,Amit Singh,Manager,6,Contractor,Jatin Singh,,Germany,Dept_0079,16052535,amit.singh@tech.com
792211324,Vikram Iyer,Analyst,8,Employee,Neha Aggarwal,7995684432.0,UK,Dept_0261,88593591,vikram.iyer@tech.com
657938247,Vikram Aggarwal,Vice President,4,Contractor,Sneha Mehta,,Singapore,Dept_0047,21179070,vikram4.aggarwal@tech.com
996518070,Kunal Singh,Senior Analyst,7,Contractor,Kunal Kapoor,9252811795.0,Germany,Dept_0828,45577682,kunal.singh@tech.com
349460359,Simran Mehta,Manager,6,Employee,Rahul Gupta,6335954600.0,Canada,Dept_0109,68223505,simran2.mehta@tech.com
961129245,Jatin Iyer,Analyst,8,Employee,Kunal Kapoor,6737597717.0,Singapore,Dept_0709,64370473,jatin.iyer@tech.com
123661636,Priya Bansal,Junior Associate,10,Contractor,Pooja Sharma,9455905653.0,India,Dept_0129,28134687,priya4.bansal@tech.com
167591527,Rahul Aggarwal,Vice President,4,Employee,Vikram Verma,6898633785.0,Canada,Dept_0149,97206603,rahul.aggarwal@tech.com
303002339,Ayesha Malhotra,Assistant Vice President,5,Employee,Arjun Sharma,7292432406.0,USA,Dept_0486,66623671,ayesha3.malhotra@tech.com
413013776,Amit Mehta,Vice President,4,Contractor,Arjun Kapoor,,Singapore,Dept_0600,42565200,amit2.mehta@tech.com
123066440,Pooja Iyer,Assistant Vice President,5,Contractor,Simran Malhotra,,Canada,Dept_0868,67953597,pooja2.iyer@tech.com
792224650,Sneha Bansal,Senior Analyst,7,Employee,Kunal Iyer,8093781592.0,Singapore,Dept_0526,89327948,sneha2.bansal@tech.com
892109271,Neha Aggarwal,Associate,9,Contractor,Ayesha Aggarwal,8475633552.0,Germany,Dept_0066,45950066,neha2.aggarwal@tech.com
576591102,Sneha Sharma,Associate,9,Contractor,Arjun Bansal,7925542889.0,India,Dept_0166,48656152,sneha2.sharma@tech.com
551111120,Sneha Verma,Associate,9,Employee,Simran Verma,,Germany,Dept_0931,55520344,sneha.verma@tech.com
472266552,Amit Singh,Analyst,8,Contractor,Pooja Sharma,9578054555.0,Singapore,Dept_0819,31746728,amit2.singh@tech.com
608851530,Priya Sharma,Analyst,8,Employee,Neha Sharma,,USA,Dept_0621,76060051,priya.sharma@tech.com
241763305,Sneha Singh,Vice President,4,Employee,Neha Sharma,,India,Dept_0368,45005058,sneha.singh@tech.com
681361352,Amit Mehta,Manager,6,Employee,Ankit Kapoor,7450559731.0,India,Dept_0633,40425851,amit3.mehta@tech.com
832725044,Neha Kapoor,Vice President,4,Contractor,Jatin Aggarwal,9371058879.0,India,Dept_0789,84762274,neha2.kapoor@tech.com
547252828,Amit Malhotra,Manager,6,Employee,Vikram Aggarwal,9979854542.0,Singapore,Dept_0986,24888885,amit.malhotra@tech.com
414788293,Pooja Sharma,Vice President,4,Employee,Ankit Bansal,,USA,Dept_0933,58538289,pooja5.sharma@tech.com
124363495,Priya Kapoor,Assistant Vice President,5,Employee,Rohit Malhotra,6662695110.0,UK,Dept_0839,28491507,priya.kapoor@tech.com
773532691,Sneha Iyer,Vice President,4,Employee,Priya Verma,9585496120.0,UK,Dept_0294,77783003,sneha.iyer@tech.com
659084094,Priya Verma,Assistant Vice President,5,Contractor,Simran Mehta,,USA,Dept_0772,81088456,priya3.verma@tech.com
319318381,Amit Iyer,Senior Analyst,7,Contractor,Ayesha Iyer,9857160925.0,Germany,Dept_0814,58556533,amit.iyer@tech.com
261596070,Amit Aggarwal,Vice President,4,Employee,Kunal Bansal,7453003039.0,Singapore,Dept_0791,32055285,amit3.aggarwal@tech.com
632928920,Rohit Aggarwal,Senior Analyst,7,Employee,Rohit Mehta,8712733822.0,Singapore,Dept_0412,84304333,rohit.aggarwal@tech.com
258864445,Kunal Verma,Junior Associate,10,Employee,Jatin Bansal,9551953232.0,Germany,Dept_0626,29711458,kunal2.verma@tech.com
848486223,Sneha Gupta,Associate,9,Contractor,Kunal Malhotra,9812534646.0,USA,Dept_0903,50470861,sneha2.gupta@tech.com
220285474,Vikram Verma,Vice President,4,Employee,Kunal Kapoor,8235400336.0,USA,Dept_0096,78675400,vikram3.verma@tech.com
396291256,Vikram Verma,Analyst,8,Employee,Rahul Iyer,6119791902.0,USA,Dept_0853,50794416,vikram4.verma@tech.com
276916378,Vikram Sharma,Associate,9,Contractor,Kunal Mehta,7115645493.0,India,Dept_0049,97370696,vikram.sharma@tech.com
217429693,Priya Bansal,Vice President,4,Contractor,Rahul Verma,,Canada,Dept_0596,85913174,priya5.bansal@tech.com
182621546,Ayesha Bansal,Associate,9,Contractor,Rahul Aggarwal,7285061147.0,Canada,Dept_0804,86875315,ayesha3.bansal@tech.com
409637808,Kunal Iyer,Associate,9,Employee,Rahul Iyer,,UK,Dept_0466,23151704,kunal4.iyer@tech.com
291997732,Rohit Iyer,Assistant Vice President,5,Employee,Rahul Bansal,6267119789.0,USA,Dept_0488,38827874,rohit.iyer@tech.com
519492143,Ankit Malhotra,Senior Analyst,7,Contractor,Jatin Singh,9745275018.0,Germany,Dept_0511,95424369,ankit2.malhotra@tech.com
186082315,Kunal Kapoor,Senior Analyst,7,Employee,Kunal Kapoor,,Singapore,Dept_0729,71433172,kunal4.kapoor@tech.com
193747059,Vikram Malhotra,Assistant Vice President,5,Employee,Kunal Bansal,7956067164.0,India,Dept_0765,31050667,vikram.malhotra@tech.com
591638597,Rahul Bansal,Analyst,8,Employee,Priya Bansal,6519117351.0,Germany,Dept_0297,15406577,rahul3.bansal@tech.com
302243117,Rahul Verma,Analyst,8,Contractor,Simran Sharma,7302492141.0,Singapore,Dept_0029,29175605,rahul3.verma@tech.com
170467095,Pooja Iyer,Assistant Vice President,5,Contractor,Neha Malhotra,9818471645.0,USA,Dept_0188,75604774,pooja3.iyer@tech.com
968437953,Vikram Verma,Vice President,4,Employee,Rohit Mehta,7793471616.0,Germany,Dept_0318,85935555,vikram5.verma@tech.com
844342619,Simran Iyer,Senior Analyst,7,Employee,Ankit Kapoor,,Germany,Dept_0652,71865804,simran5.iyer@tech.com
822957323,Arjun Kapoor,Junior Associate,10,Contractor,Jatin Bansal,6383604911.0,Singapore,Dept_0239,63069304,arjun4.kapoor@tech.com
958890239,Arjun Kapoor,Manager,6,Employee,Priya Malhotra,,Canada,Dept_0026,86771841,arjun5.kapoor@tech.com
495293592,Vikram Sharma,Associate,9,Employee,Rahul Iyer,,Germany,Dept_0535,35420283,vikram2.sharma@tech.com
766741351,Vikram Aggarwal,Junior Associate,10,Employee,Sneha Kapoor,6081490931.0,USA,Dept_0252,87786253,vikram5.aggarwal@tech.com
585308092,Simran Malhotra,Senior Analyst,7,Contractor,Priya Verma,,Singapore,Dept_0883,13122340,simran3.malhotra@tech.com
413816461,Amit Iyer,Manager,6,Contractor,Rahul Gupta,7640724675.0,India,Dept_0118,23332334,amit2.iyer@tech.com
672149194,Priya Mehta,Analyst,8,Contractor,Rahul Bansal,,USA,Dept_0315,64663717,priya2.mehta@tech.com
986243970,Jatin Bansal,Associate,9,Employee,Rahul Bansal,,UK,Dept_0400,23253224,jatin3.bansal@tech.com
828327980,Rohit Verma,Manager,6,Contractor,Simran Iyer,,India,Dept_0208,42161649,rohit.verma@tech.com
671128082,Pooja Gupta,Junior Associate,10,Contractor,Amit Malhotra,6494270721.0,India,Dept_0326,72387558,pooja2.gupta@tech.com
862169097,Rahul Kapoor,Analyst,8,Contractor,Neha Malhotra,,India,Dept_0276,84366722,rahul2.kapoor@tech.com
604834590,Neha Malhotra,Analyst,8,Contractor,Priya Verma,8440596445.0,Singapore,Dept_0086,95335496,neha4.malhotra@tech.com
231758252,Simran Mehta,Analyst,8,Employee,Neha Malhotra,,Germany,Dept_0976,66875091,simran3.mehta@tech.com
990733087,Jatin Aggarwal,Analyst,8,Contractor,Ayesha Singh,,India,Dept_0062,74717944,jatin2.aggarwal@tech.com
665521130,Ayesha Iyer,Manager,6,Employee,Ayesha Sharma,8513239458.0,India,Dept_0166,81684250,ayesha5.iyer@tech.com
638427940,Priya Sharma,Analyst,8,Employee,Pooja Verma,,Canada,Dept_0570,47508257,priya2.sharma@tech.com
622082166,Pooja Malhotra,Senior Analyst,7,Contractor,Neha Sharma,8728033887.0,Canada,Dept_0464,46643203,pooja.malhotra@tech.com
585772239,Ankit Verma,Assistant Vice President,5,Contractor,Pooja Aggarwal,8574891590.0,India,Dept_0936,27948365,ankit.verma@tech.com
470684221,Pooja Kapoor,Associate,9,Employee,Neha Kapoor,,Singapore,Dept_0570,75629343,pooja.kapoor@tech.com
500305748,Vikram Sharma,Junior Associate,10,Employee,Neha Singh,9833568382.0,Canada,Dept_0127,57378150,vikram3.sharma@tech.com
168042141,Ayesha Bansal,Junior Associate,10,Contractor,Arjun Kapoor,,India,Dept_0474,59725069,ayesha4.bansal@tech.com
158475978,Jatin Gupta,Assistant Vice President,5,Contractor,Kunal Bansal,8922958662.0,USA,Dept_0093,92334886,jatin2.gupta@tech.com
397582542,Simran Gupta,Associate,9,Contractor,Jatin Bansal,,UK,Dept_0505,91339562,simran.gupta@tech.com
554116688,Neha Iyer,Assistant Vice President,5,Contractor,Neha Kapoor,8444275463.0,USA,Dept_0566,36007403,neha.iyer@tech.com
830387900,Arjun Bansal,Associate,9,Employee,Amit Mehta,,Canada,Dept_0067,27103487,arjun2.bansal@tech.com
640699840,Vikram Singh,Manager,6,Employee,Ayesha Iyer,8976351409.0,Canada,Dept_0574,70924933,vikram.singh@tech.com
387073305,Arjun Aggarwal,Vice President,4,Contractor,Jatin Kapoor,9626419350.0,UK,Dept_0125,79564413,arjun.aggarwal@tech.com
478721270,Ankit Malhotra,Senior Analyst,7,Employee,Neha Kapoor,6201711625.0,Singapore,Dept_0546,70245170,ankit3.malhotra@tech.com
444095402,Rohit Gupta,Manager,6,Employee,Jatin Verma,,Canada,Dept_0232,66884191,rohit.gupta@tech.com
342061379,Neha Mehta,Vice President,4,Contractor,Kunal Verma,,India,Dept_0492,67975205,neha.mehta@tech.com
916995018,Pooja Verma,Junior Associate,10,Employee,Pooja Sharma,6463172080.0,USA,Dept_0982,55741665,pooja3.verma@tech.com
899955602,Ayesha Verma,Junior Associate,10,Employee,Neha Aggarwal,9331818614.0,India,Dept_0641,69922335,ayesha.verma@tech.com
